No,Time,Source,Destination,Protocol,Length,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3,AdditionalInfo4,AdditionalInfo5,AdditionalInfo6,AdditionalInfo7,AdditionalInfo8,AdditionalInfo9,AdditionalInfo10,AdditionalInfo11,AdditionalInfo12,AdditionalInfo13,AdditionalInfo14,AdditionalInfo15,AdditionalInfo16,AdditionalInfo17,AdditionalInfo18,AdditionalInfo19,AdditionalInfo20,AdditionalInfo21,AdditionalInfo22,AdditionalInfo23,AdditionalInfo24,AdditionalInfo25,AdditionalInfo26,AdditionalInfo27,AdditionalInfo28,AdditionalInfo29,AdditionalInfo30
19,596.714288,24.6.125.19,211.91.150.78,TCP,60,"9898→2597 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 19: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 211.91.150.78 (211.91.150.78)","Transmission Control Protocol, Src Port: 9898 (9898), Dst Port: 2597 (2597), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
20,850.208744,220.85.68.47,24.6.125.19,TCP,62,1338→5554 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 20: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.85.68.47 (220.85.68.47), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 1338 (1338), Dst Port: 5554 (5554), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
21,850.208749,24.6.125.19,220.85.68.47,TCP,60,"5554→1338 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 21: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.85.68.47 (220.85.68.47)","Transmission Control Protocol, Src Port: 5554 (5554), Dst Port: 1338 (1338), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
22,850.867027,220.85.68.47,24.6.125.19,TCP,62,[TCP Spurious Retransmission] 1338→5554 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 22: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.85.68.47 (220.85.68.47), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 1338 (1338), Dst Port: 5554 (5554), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
23,850.867031,24.6.125.19,220.85.68.47,TCP,60,"5554→1338 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 23: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.85.68.47 (220.85.68.47)","Transmission Control Protocol, Src Port: 5554 (5554), Dst Port: 1338 (1338), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
24,851.206489,220.85.68.47,24.6.125.19,TCP,62,1922→1023 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 24: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.85.68.47 (220.85.68.47), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 1922 (1922), Dst Port: 1023 (1023), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
25,851.206496,24.6.125.19,220.85.68.47,TCP,60,"1023→1922 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 25: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.85.68.47 (220.85.68.47)","Transmission Control Protocol, Src Port: 1023 (1023), Dst Port: 1922 (1922), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
26,851.872603,220.85.68.47,24.6.125.19,TCP,62,[TCP Spurious Retransmission] 1922→1023 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 26: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.85.68.47 (220.85.68.47), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 1922 (1922), Dst Port: 1023 (1023), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
27,851.872701,24.6.125.19,220.85.68.47,TCP,60,"1023→1922 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 27: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.85.68.47 (220.85.68.47)","Transmission Control Protocol, Src Port: 1023 (1023), Dst Port: 1922 (1922), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
28,853.249944,220.85.68.47,24.6.125.19,TCP,62,3028→9898 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 28: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.85.68.47 (220.85.68.47), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 3028 (3028), Dst Port: 9898 (9898), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
29,853.250054,24.6.125.19,220.85.68.47,TCP,60,"9898→3028 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 29: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.85.68.47 (220.85.68.47)","Transmission Control Protocol, Src Port: 9898 (9898), Dst Port: 3028 (3028), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
30,857.177404,220.122.34.123,24.6.125.19,TCP,62,3129→5554 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 30: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.122.34.123 (220.122.34.123), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 3129 (3129), Dst Port: 5554 (5554), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
31,857.177546,24.6.125.19,220.122.34.123,TCP,60,"5554→3129 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 31: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.122.34.123 (220.122.34.123)","Transmission Control Protocol, Src Port: 5554 (5554), Dst Port: 3129 (3129), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
32,857.846345,220.122.34.123,24.6.125.19,TCP,62,[TCP Spurious Retransmission] 3129→5554 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 32: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.122.34.123 (220.122.34.123), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 3129 (3129), Dst Port: 5554 (5554), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
33,857.846472,24.6.125.19,220.122.34.123,TCP,60,"5554→3129 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 33: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.122.34.123 (220.122.34.123)","Transmission Control Protocol, Src Port: 5554 (5554), Dst Port: 3129 (3129), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
34,858.172270,220.122.34.123,24.6.125.19,TCP,62,3525→1023 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 34: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.122.34.123 (220.122.34.123), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 3525 (3525), Dst Port: 1023 (1023), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
35,858.172388,24.6.125.19,220.122.34.123,TCP,60,"1023→3525 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 35: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.122.34.123 (220.122.34.123)","Transmission Control Protocol, Src Port: 1023 (1023), Dst Port: 3525 (3525), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
36,858.852717,220.122.34.123,24.6.125.19,TCP,62,[TCP Spurious Retransmission] 3525→1023 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 36: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.122.34.123 (220.122.34.123), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 3525 (3525), Dst Port: 1023 (1023), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
37,858.852824,24.6.125.19,220.122.34.123,TCP,60,"1023→3525 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 37: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.122.34.123 (220.122.34.123)","Transmission Control Protocol, Src Port: 1023 (1023), Dst Port: 3525 (3525), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
38,860.171701,220.122.34.123,24.6.125.19,TCP,62,4258→9898 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1,"Frame 38: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.122.34.123 (220.122.34.123), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 4258 (4258), Dst Port: 9898 (9898), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
39,860.171835,24.6.125.19,220.122.34.123,TCP,60,"9898→4258 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 39: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.122.34.123 (220.122.34.123)","Transmission Control Protocol, Src Port: 9898 (9898), Dst Port: 4258 (4258), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
40,883.563947,220.95.85.243,24.6.125.19,TCP,62,2504→5554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1,"Frame 40: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.95.85.243 (220.95.85.243), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 2504 (2504), Dst Port: 5554 (5554), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
41,883.564086,24.6.125.19,220.95.85.243,TCP,60,"5554→2504 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 41: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.95.85.243 (220.95.85.243)","Transmission Control Protocol, Src Port: 5554 (5554), Dst Port: 2504 (2504), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
42,884.249811,220.95.85.243,24.6.125.19,TCP,62,[TCP Spurious Retransmission] 2504→5554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1,"Frame 42: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.95.85.243 (220.95.85.243), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 2504 (2504), Dst Port: 5554 (5554), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
43,884.249939,24.6.125.19,220.95.85.243,TCP,60,"5554→2504 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Frame 43: 60 bytes on wire (480 bits), 60 bytes captured (480 bits)","Ethernet II, Src: Intel_b7:f2:f5 (00:03:47:b7:f2:f5), Dst: Cadant_22:89:c2 (00:01:5c:22:89:c2)","Internet Protocol Version 4, Src: 24.6.125.19 (24.6.125.19), Dst: 220.95.85.243 (220.95.85.243)","Transmission Control Protocol, Src Port: 5554 (5554), Dst Port: 2504 (2504), Seq: 1, Ack: 1, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
44,884.564043,220.95.85.243,24.6.125.19,TCP,62,2818→1023 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1,"Frame 44: 62 bytes on wire (496 bits), 62 bytes captured (496 bits)","Ethernet II, Src: Cadant_22:89:c2 (00:01:5c:22:89:c2), Dst: Intel_b7:f2:f5 (00:03:47:b7:f2:f5)","Internet Protocol Version 4, Src: 220.95.85.243 (220.95.85.243), Dst: 24.6.125.19 (24.6.125.19)","Transmission Control Protocol, Src Port: 2818 (2818), Dst Port: 1023 (1023), Seq: 0, Len: 0",,,,,,,,,,,,,,,,,,,,,,,,,
